,epoch,acc
0,0,54.41
1,1,68.27
2,2,69.48
3,3,78.09
4,4,77.44
5,5,80.53
6,6,80.25
7,7,83.49
8,8,80.33
9,9,84.99
10,10,84.73
11,11,85.52
12,12,84.88
13,13,86.24
14,14,84.77
15,15,87.39
16,16,86.13
17,17,87.1
18,18,88.31
19,19,87.77
20,20,87.29
21,21,87.86
22,22,88.52
23,23,88.17
24,24,88.17
25,25,87.89
26,26,89.11
27,27,89.55
28,28,89.07
29,29,89.17
30,30,88.45
31,31,89.05
32,32,89.72
33,33,88.74
34,34,89.81
35,35,88.69
36,36,88.11
37,37,89.76
38,38,90.66
39,39,90.15
40,40,90.39
41,41,90.12
42,42,90.53
43,43,90.96
44,44,89.56
45,45,90.38
46,46,90.74
47,47,90.49
48,48,90.44
49,49,90.77
50,50,90.81
51,51,90.13
52,52,90.42
53,53,91.52
54,54,91.13
55,55,90.54
56,56,91.65
57,57,91.2
58,58,91.95
59,59,91.16
60,60,91.08
61,61,91.42
62,62,91.59
63,63,91.33
64,64,92.22
65,65,91.29
66,66,91.64
67,67,91.31
68,68,91.52
69,69,92.04
70,70,91.25
71,71,91.61
72,72,91.86
73,73,91.96
74,74,91.33
75,75,91.94
76,76,92.35
77,77,92.14
78,78,92.33
79,79,92.3
80,80,92.14
81,81,92.48
82,82,91.95
83,83,92.4
84,84,92.55
85,85,92.41
86,86,92.15
87,87,92.26
88,88,92.81
89,89,92.52
90,90,93.12
91,91,93.21
92,92,93.2
93,93,93.11
94,94,92.68
95,95,93.11
96,96,93.04
97,97,93.0
98,98,93.1
99,99,93.29
