,epoch,acc
0,0,10.03
1,1,15.06
2,2,17.6
3,3,13.25
4,4,16.29
5,5,13.57
6,6,15.8
7,7,15.44
8,8,15.26
9,9,16.19
10,10,18.84
11,11,12.14
12,12,17.94
13,13,16.13
14,14,15.46
15,15,16.51
16,16,14.76
17,17,14.78
18,18,17.49
19,19,18.02
20,20,18.05
21,21,16.47
22,22,16.85
23,23,18.12
24,24,17.3
25,25,18.56
26,26,19.0
27,27,16.59
28,28,18.94
29,29,17.19
30,30,17.51
31,31,18.05
32,32,16.42
33,33,19.16
34,34,20.68
35,35,22.7
36,36,16.55
37,37,20.02
38,38,19.31
39,39,18.41
40,40,21.08
41,41,18.77
42,42,20.75
43,43,21.59
44,44,20.98
45,45,19.02
46,46,19.81
47,47,18.98
48,48,19.11
49,49,18.46
50,50,20.54
51,51,20.42
52,52,21.85
53,53,21.15
54,54,19.67
55,55,22.03
56,56,21.59
57,57,19.05
58,58,17.61
59,59,21.1
60,60,21.64
61,61,22.76
62,62,20.47
63,63,20.31
64,64,20.73
65,65,21.13
66,66,21.92
67,67,20.64
68,68,21.47
69,69,22.03
70,70,20.53
71,71,21.31
72,72,21.25
73,73,21.08
74,74,20.86
75,75,20.8
76,76,22.3
77,77,21.3
78,78,21.69
79,79,21.25
80,80,22.38
81,81,21.56
82,82,21.17
83,83,21.95
84,84,21.95
85,85,22.02
86,86,21.99
87,87,22.09
88,88,22.08
89,89,22.12
90,90,22.11
91,91,21.92
92,92,22.04
93,93,22.01
94,94,22.15
95,95,22.05
96,96,21.99
97,97,22.01
98,98,21.98
99,99,22.17
