,epoch,acc
0,0,54.74
1,1,62.0
2,2,69.31
3,3,75.3
4,4,73.99
5,5,78.68
6,6,78.84
7,7,82.26
8,8,84.26
9,9,84.69
10,10,84.98
11,11,86.45
12,12,84.27
13,13,85.1
14,14,86.08
15,15,87.08
16,16,86.34
17,17,88.07
18,18,87.96
19,19,87.96
20,20,87.82
21,21,89.17
22,22,87.67
23,23,88.84
24,24,86.25
25,25,87.71
26,26,88.27
27,27,87.36
28,28,88.79
29,29,88.9
30,30,89.39
31,31,88.49
32,32,89.22
33,33,89.58
34,34,88.66
35,35,89.29
36,36,89.88
37,37,89.94
38,38,87.9
39,39,89.69
40,40,90.91
41,41,90.5
42,42,90.64
43,43,90.21
44,44,90.83
45,45,91.06
46,46,90.72
47,47,90.25
48,48,90.96
49,49,91.16
50,50,90.23
51,51,89.16
52,52,90.94
53,53,90.07
54,54,88.6
55,55,90.87
56,56,91.51
57,57,91.63
58,58,91.0
59,59,91.45
60,60,90.82
61,61,91.3
62,62,91.32
63,63,91.72
64,64,90.93
65,65,91.98
66,66,91.84
67,67,92.07
68,68,91.77
69,69,91.62
70,70,92.53
71,71,91.28
72,72,92.43
73,73,91.96
74,74,92.28
75,75,92.52
76,76,92.26
77,77,92.01
78,78,92.55
79,79,92.08
80,80,92.45
81,81,92.25
82,82,92.26
83,83,92.76
84,84,92.68
85,85,92.52
86,86,92.25
87,87,92.67
88,88,92.38
89,89,92.99
90,90,93.06
91,91,92.94
92,92,92.81
93,93,93.08
94,94,92.77
95,95,93.18
96,96,92.82
97,97,93.05
98,98,93.07
99,99,93.26
