,epoch,acc
0,0,10.5
1,1,34.1
2,2,34.24
3,3,45.07
4,4,46.92
5,5,47.57
6,6,53.11
7,7,53.14
8,8,53.45
9,9,55.3
10,10,54.34
11,11,58.01
12,12,54.09
13,13,56.21
14,14,60.09
15,15,56.73
16,16,60.12
17,17,61.8
18,18,60.19
19,19,52.74
20,20,63.77
21,21,55.87
22,22,62.52
23,23,59.11
24,24,62.59
25,25,65.72
26,26,65.96
27,27,62.59
28,28,63.35
29,29,64.03
30,30,63.92
31,31,63.64
32,32,66.85
33,33,60.33
34,34,67.9
35,35,62.81
36,36,63.47
37,37,66.05
38,38,68.15
39,39,67.05
40,40,64.82
41,41,68.03
42,42,70.17
43,43,68.98
44,44,69.66
45,45,66.86
46,46,68.93
47,47,70.29
48,48,69.32
49,49,69.33
50,50,69.94
51,51,66.54
52,52,69.25
53,53,70.24
54,54,70.71
55,55,71.44
56,56,72.81
57,57,72.17
58,58,73.22
59,59,73.21
60,60,73.46
61,61,70.8
62,62,72.19
63,63,72.58
64,64,72.71
65,65,72.09
66,66,72.85
67,67,72.54
68,68,73.46
69,69,73.37
70,70,73.08
71,71,73.98
72,72,73.59
73,73,73.77
74,74,73.89
75,75,74.28
76,76,73.98
77,77,74.39
78,78,74.59
79,79,74.5
80,80,74.36
81,81,74.6
82,82,74.69
83,83,74.62
84,84,74.12
85,85,74.5
86,86,74.66
87,87,74.61
88,88,74.46
89,89,74.81
90,90,74.7
91,91,74.88
92,92,74.46
93,93,74.66
94,94,74.81
95,95,74.66
96,96,74.82
97,97,74.94
98,98,74.95
99,99,74.74
